smiles,H298 (kcal/mol),S298 (cal/mol/K),Sint298 (cal/mol/K),source,level_of_theory,Cp300 (cal/mol/K),Cp400 (cal/mol/K),Cp500 (cal/mol/K),Cp600 (cal/mol/K),Cp800 (cal/mol/K),Cp1000 (cal/mol/K),Cp1500 (cal/mol/K)
CCC1C(O)C1O,-74.61349304598475,92.60811553669208,94.79128501876353,dong_pio_liang.py,CBS-QB3,34.87012131459031,42.54036456505756,49.15587410674115,54.83290650386093,63.80129741877413,70.23451501349903,79.38545811993427
CC1(OO)COOCC12CO2,-74.28336784588915,100.04993978973228,102.23310927180373,dong_pio_liang.py,CBS-QB3,45.33361748251414,57.254721234864995,66.48063846305092,74.1786045160187,86.03668620011887,94.17220580336523,104.61960243102415
CC1=C(C)OCOC1,-74.22148784635625,88.26132302909184,92.62766199323472,dong_pio_liang.py,CBS-QB3,31.879406648318096,39.94837796486609,47.52009886545889,54.41146559947412,65.74585398508175,73.78724279590823,85.3823742604719
C=C(O)C(C)=O,-74.21421775568324,80.08253001627241,82.26569949834386,dong_pio_liang.py,CBS-QB3,24.69519727511218,30.280929613741336,35.22924230629708,39.549574382156216,46.53786663632601,51.68236448511281,58.910772242157506
O=C1C=CC(O)C1=O,-74.07177607274647,85.28567701216296,85.28567701216296,dong_pio_liang.py,CBS-QB3,28.118434051727913,34.254616728862715,39.05441535478488,42.98022137312064,49.0847895422876,53.339344958565974,58.97455213160732
CC1OCC1CO,-73.85992787575103,93.34424020918618,95.52740969125763,dong_pio_liang.py,CBS-QB3,31.17290242600429,38.56007054473832,45.42229935470841,51.64155651601664,61.89308110441893,69.22660387621414,79.52294362270494
CCC1OC1O,-73.60172445764412,86.81371750188951,88.99688698396096,dong_pio_liang.py,CBS-QB3,27.867408743431426,33.67737104495147,38.910596252294454,43.55859337388134,51.13929605041717,56.64897776971319,64.68963482155378
OC=CCO,-73.51742718748699,76.8079228455191,76.8079228455191,dong_pio_liang.py,CBS-QB3,23.582890012913342,28.67549775385254,33.233713632915865,37.13365591222807,42.87874621522157,46.56044703804972,51.75559105746653
O=C=C(O)O,-73.31774318763252,71.29111877632181,72.66854535964988,dong_pio_liang.py,CBS-QB3,21.160014081842448,24.78893931032428,26.963073583116632,28.246934106794118,30.050687029295304,31.177527219898664,32.524352078907384
O=CCCCOO,-73.14273706423627,87.80870608361076,87.80870608361076,dong_pio_liang.py,CBS-QB3,36.17954338319618,45.994403984373996,53.1762350489675,57.95691019056904,64.33702342750412,68.26300744390058,72.46168290946584
