smiles,H298 (kcal/mol),S298 (cal/mol/K),Sint298 (cal/mol/K),source,level_of_theory,Cp300 (cal/mol/K),Cp400 (cal/mol/K),Cp500 (cal/mol/K),Cp600 (cal/mol/K),Cp800 (cal/mol/K),Cp1000 (cal/mol/K),Cp1500 (cal/mol/K)
CC(=O)OC=C(C)OCO[O],-106.89151418035512,123.83435421247573,128.2006931766186,dong_pio_liang.py,CBS-QB3,44.61288729399428,53.87872087742511,62.01484518363527,68.92605294646894,79.63547919541271,87.04041975240918,96.57663872923757
CC(=O)OCC(C)(C)[O],-106.67331199035276,111.47217071263648,118.02167915885082,dong_pio_liang.py,CBS-QB3,40.871870304574955,49.89533962847189,58.064077455076486,65.1014819281522,76.2713343847763,84.30777234881454,95.52942809938814
[O]OC1CC(OO)CC(=O)O1,-106.63994952021086,105.25406690094346,105.25406690094346,dong_pio_liang.py,CBS-QB3,43.13845141099828,52.775380522890245,60.10948178242113,66.11000175473717,75.35088080970925,81.687600833174,89.81449295952437
CC(=O)OC1OC1(C)C[O],-106.4986986453659,110.86001087800577,115.22634984214865,dong_pio_liang.py,CBS-QB3,41.81874553024907,50.57646466710809,58.245996882788496,64.90882088082991,75.53923184872914,83.11541844142278,92.91466140040897
O=[C]CC(=O)COC=O,-106.0465439734634,106.87472276615934,106.87472276615934,dong_pio_liang.py,CBS-QB3,36.62169305396654,42.02294540211105,46.861633023350855,50.994005691772855,57.458033603789985,62.00086270189293,68.06637832864723
[O]OC(=O)C(CCO)OO,-106.0302735913862,110.66463351706992,109.28720693374186,dong_pio_liang.py,CBS-QB3,46.53864320960057,55.62792006910057,62.26432157177341,67.0957356992667,74.16875369492865,78.82214841912045,84.17353406566681
[O]OCC(=O)C(=O)O,-105.81719786687553,92.06732645182586,92.06732645182586,dong_pio_liang.py,CBS-QB3,33.6804599110436,38.96921725430746,42.35385379658222,45.1140511236606,49.20118149886075,51.82074162260038,54.74756890943594
CCC(COC(C)=O)O[O],-105.70938007733986,119.66616982759435,122.65508220840918,dong_pio_liang.py,CBS-QB3,44.16314669311089,53.37173636094094,61.799018411578615,69.06579492917665,80.61603289003554,88.94271291957935,100.59629421315606
CCC(CO)C(O)O[O],-105.66746218437355,108.5704973294195,107.99881364483481,dong_pio_liang.py,CBS-QB3,49.04357542792676,57.76846021855294,64.48164037551985,70.1822181610453,79.03926669059253,85.24400494760995,93.85622879167666
CCC(CO[O])OC(C)=O,-105.50972394549807,118.38916284571434,121.37807522652916,dong_pio_liang.py,CBS-QB3,43.57415855829255,52.99335936606078,61.65396103103728,69.11556475445786,80.95444922887621,89.45763786810707,101.21869598328392
[O]OCC(=O)OC=O,-105.43055339953133,95.14007879209689,95.14007879209689,dong_pio_liang.py,CBS-QB3,31.218117701166538,35.39215255132236,39.03744759207649,42.13272070504614,46.86889021087573,50.069146273223716,53.95552105912716
CC(=O)OC([O])CC1CO1,-105.32517673547848,113.3885803246873,114.19432322343069,dong_pio_liang.py,CBS-QB3,41.82824338870827,50.62750126054288,58.32069809898638,64.98920855084842,75.58100934439977,83.06726266500571,92.65243771598921
[O]C12OC1(O)O2,-105.01970358977967,74.92259972091009,76.30002630423814,dong_pio_liang.py,CBS-QB3,18.847916606676673,22.31236174667763,24.798861631104216,26.689839267683585,29.534720994410083,31.41530840097705,33.670389717259916
O=C1C(O)[CH]OC1O,-105.00483261412663,92.14692958280676,92.14692958280676,dong_pio_liang.py,CBS-QB3,32.81601276244742,38.85151262860804,43.39566170875716,47.234929693016014,53.164303034457845,57.26900607007648,62.78272909969404
C[C]1OC(=O)C(C)(C)O1,-104.80469293811453,93.87951888224116,100.42902732845549,dong_pio_liang.py,CBS-QB3,37.570698402674786,45.86733850321943,53.043079793362814,59.21840922637048,69.01410361828786,76.07561044208413,86.12619298160374
C=COC(O[O])OC(C)=O,-104.70712130016389,116.16398957847794,116.96973247722131,dong_pio_liang.py,CBS-QB3,38.64429865792733,46.554108866761396,53.53637399912762,59.462814068771955,68.63010607213101,74.94302196892926,82.95070654530353
CC(=O)OCC(C)CO[O],-104.67544030307714,119.68369829433256,122.67261067514737,dong_pio_liang.py,CBS-QB3,44.3730851239044,53.61104730948142,62.07495321227294,69.36228321395133,80.91365070298535,89.20073181166349,100.66108832312378
CCC(CO)(CO)O[O],-104.46811276135949,102.02213324615863,104.20530272823008,dong_pio_liang.py,CBS-QB3,46.46273211998469,58.21854897801529,66.64077128891013,73.25759083487608,83.15515022691508,89.61212330149141,97.11259204855762
[CH2]C(=O)OC(=O)C(C)C,-104.37744068735658,110.26676489288512,116.01053044035608,dong_pio_liang.py,CBS-QB3,38.934210823307275,46.33562005870977,53.09385788747849,58.93010734211124,68.23346893876897,74.97755961791589,84.5635084374307
